simu_idx,session_idx,lr
57,7,0.0420903714431385
57,8,0.042314919230019274
57,9,0.0408138502980471
58,0,0.17983396423523804
58,1,0.17989049923038644
58,2,0.17971727861693804
58,3,0.17978925067525697
58,4,0.17960392201237507
58,5,0.17957086707294825
58,6,0.17974419957337048
58,7,0.17970369626055993
58,8,0.17969204796648078
58,9,0.17991706213889352
59,0,0.03563499910662942
59,1,0.03551362799849975
59,2,0.035491551763718474
59,3,0.03575057110408646
59,4,0.035561137008977624
59,5,0.035983116901372826
59,6,0.035498656698100595
59,7,0.035422924627524624
59,8,0.035582640340888566
59,9,0.035644291461924264
60,0,0.0711220833847493
60,1,0.07120098084077404
60,2,0.0706864226692366
60,3,0.07124628119376669
60,4,0.07123603050666974
60,5,0.07032025991860094
60,6,0.0701588801836033
60,7,0.07118645893412755
60,8,0.07034472055997848
60,9,0.07157053296350649
61,0,0.38972771786264643
61,1,0.3897063724885133
61,2,0.385516537158953
61,3,0.3872263689573461
61,4,0.39235153853652943
61,5,0.3886160131177962
61,6,0.3895457145174669
61,7,0.3874818459653858
61,8,0.39093565001759945
61,9,0.3848091911604858
62,0,0.0726064273390648
62,1,0.07265800744557599
62,2,0.07248138176944285
62,3,0.07239865845619649
62,4,0.07228245783368528
62,5,0.07280940112941128
62,6,0.07249107345658871
62,7,0.07230526276558158
62,8,0.0725363341698268
62,9,0.07264318626696264
63,0,0.14963927207186323
63,1,0.14932621583666275
63,2,0.14825103120107466
63,3,0.14994483039149356
63,4,0.14897874309608658
63,5,0.14747783160984285
63,6,0.14584917973282813
63,7,0.14875549248061185
63,8,0.14769540527338068
63,9,0.1481788977703446
64,0,0.061456166003541805
64,1,0.061237331642429026
64,2,0.06090982169649135
64,3,0.06124365565072712
64,4,0.06093715662368767
64,5,0.06129048616807228
64,6,0.061141720641637816
64,7,0.0613419691561579
64,8,0.06137747595948295
64,9,0.06122924046443719
65,0,0.08570098704702185
65,1,0.08684114646953653
65,2,0.08692586608163358
65,3,0.08597185472935796
65,4,0.08702887544367532
65,5,0.08647380366753316
65,6,0.08584808183058665
65,7,0.08637790159342632
65,8,0.08496762121062314
65,9,0.08661425064455425
66,0,0.30464208545515115
66,1,0.3040758737239625
66,2,0.3002554208245273
66,3,0.30524662814963194
66,4,0.3004647483315617
66,5,0.30367867840320306
66,6,0.30365423574322475
66,7,0.3048777986946567
66,8,0.3044454801871603
66,9,0.29935597291347754
67,0,0.1345508924775802
67,1,0.13553890138423513
67,2,0.13631136648764103
67,3,0.1340371306064848
67,4,0.1355675775153705
67,5,0.13600119194017884
67,6,0.1335350858744213
67,7,0.13417198630315874
67,8,0.13409469150833533
67,9,0.1341796177270551
68,0,0.2747062442879893
68,1,0.27455415478676887
68,2,0.2719383801660083
68,3,0.27390304944318944
68,4,0.2728245523074976
68,5,0.27402327566551354
68,6,0.272459703227983
68,7,0.27235529648658297
68,8,0.27376839334220665
68,9,0.27343534109189493
69,0,0.413255595794831
69,1,0.41857556969917864
69,2,0.4191811352432742
69,3,0.4195796771266427
69,4,0.4186750378029814
69,5,0.4153380612007166
69,6,0.4170439334302109
69,7,0.4146568082621717
69,8,0.411502359284414
69,9,0.41660924969319113
70,0,0.3442705555922674
70,1,0.3424110062958273
70,2,0.3374573949269454
70,3,0.34190670888584634
70,4,0.3447801797906094
70,5,0.34060182992103705
70,6,0.341908902035818
70,7,0.3393670210269375
70,8,0.3439179420356608
70,9,0.3432933033176474
71,0,0.3877312108103203
71,1,0.40096784597750595
71,2,0.3906222463743705
71,3,0.3909672867671973
71,4,0.3932650805929243
71,5,0.393261042637633
71,6,0.3904842944419489
71,7,0.39394629054286795
71,8,0.387949178812687
71,9,0.3977208551750211
72,0,0.32149575230284494
72,1,0.32522182545123407
72,2,0.3208447117704857
72,3,0.3237702624332461
72,4,0.3227724533333601
72,5,0.3245533614845617
72,6,0.32626286817367833
72,7,0.3251481695881464
72,8,0.32388207464398433
72,9,0.3239470923431014
73,0,0.2490622370320188
73,1,0.24890924009218054
73,2,0.24866523734079393
73,3,0.24923727134780946
73,4,0.24925362479238386
73,5,0.24844906459000668
73,6,0.24893083542544417
73,7,0.24898306217365898
73,8,0.2490826014087272
73,9,0.24900221072365686
74,0,0.008465223752096082
74,1,0.008671146414585726
74,2,0.008524029840813985
74,3,0.008643937289938812
74,4,0.008598080392678389
74,5,0.008464542296904243
74,6,0.008416311433962048
74,7,0.008552787273461593
74,8,0.008647663774147095
74,9,0.008630388753634925
75,0,0.2510792338631977
75,1,0.25113070759055794
75,2,0.2510000328773486
75,3,0.25099951301983664
75,4,0.25102628859448706
75,5,0.2510273815307878
75,6,0.25107815121745963
75,7,0.251126887956409
75,8,0.2509626453444254
75,9,0.25117051785729083
76,0,0.22088982386602793
76,1,0.216012275175049
76,2,0.21787361637848546
76,3,0.21653500519800412
76,4,0.212894764308828
76,5,0.21202349404263213
76,6,0.21292410211365098
76,7,0.21162007797294707
76,8,0.2154865341370896
76,9,0.21510179210731808
77,0,0.22396881050277348
77,1,0.21885312772115084
77,2,0.21827371473897977
77,3,0.2207331274585299
77,4,0.22133754663891775
77,5,0.2197190869791346
77,6,0.21852796774984518
