simu_idx,session_idx,delta1,delta2,hrate,nu_p
24,1,6.129693179340879,12.378774994933114,1.5376514237868436e-07,4.999939525682755
24,2,6.694748184180891,20.01957780857916,6.610696135189607e-05,4.999944752130865
24,3,6.8156513149727,16.51953692212701,2.3665309253379297e-09,4.999955670980794
24,4,6.761473763638855,16.25955439760039,1.5396492643058173e-09,4.999955304545537
24,5,6.332437340118596,13.830875765886882,1.1713001041469042e-07,4.999946797220128
24,6,6.185286999145018,12.854097309086036,9.266842902933985e-08,4.999939089256223
24,7,6.726616801116935,20.28098450364591,6.610696135189607e-05,4.999938149503081
24,8,6.481906314429619,14.60513054184938,1.0255584880833803e-07,4.999933977254818
24,9,6.768634147502205,16.07273105134841,2.710387690688274e-09,4.999955304650518
25,0,6.90665059965875,25.409930478333123,6.610696135189607e-05,4.999966208376795
25,1,6.3886822643605665,19.247903255830696,6.610696135189607e-05,4.999938058637741
25,2,5.675010046756212,14.696586341721346,1.0856219824028302e-11,4.999936547440742
25,3,6.148940935112714,10.74867797837847,3.2827215905318976e-07,4.9999572867889785
25,4,5.999371168136439,18.440760033258343,0.0004850142210039252,4.999954883134968
25,5,7.1083974688757925,18.12057312396768,1.3207603808715666e-09,4.9999548923644275
25,6,7.266730657362406,28.5954638062922,6.610696135189607e-05,4.9999552287476074
25,7,6.31712349840264,13.797629304140454,1.957311531946841e-15,4.999937061930047
25,8,5.760603575329177,15.910302372088049,0.0013987794532855863,4.999955576512288
25,9,7.564124416532338,21.687028381340806,2.1565360204249977e-09,4.9999553121223475
26,0,6.931712837571843,11.869427761793762,0.009497406148124105,4.9999426260966375
26,1,7.786951583117666,27.681445937840994,2.5884029417988334e-09,4.999953855277194
26,2,7.782510359797383,24.980621226766495,5.5644934459896875e-08,4.999955306253754
26,3,6.839388173312427,16.465875876253374,0.004194359903508666,4.9999435370741665
26,4,6.737576866478785,25.26128296428372,7.714657402927882e-05,4.999961794247885
26,5,7.926812360875335,28.77058182515008,2.5434130498193158e-09,4.999952887781461
26,6,6.95211242347604,18.178478370619807,0.0025537414898256245,4.9999384837020315
26,7,7.048101292082035,20.559742856792777,0.0015329892803445978,4.999938480005991
26,8,8.185804722380235,22.663331480102855,0.0004671194346715583,4.999946894120799
26,9,6.792803654492047,16.30228453304375,0.005266311599947647,4.99994656548754
27,0,7.579930832152083,25.713129280901036,0.0019668301775415875,4.9999478961086075
27,1,8.349873499319438,30.427650801809236,2.7822090627443313e-09,4.999955573791968
27,2,7.219968153245045,23.39401342265671,0.0022355088094384292,4.999949659209538
27,3,9.260880249405066,42.59037409219666,6.610696087016592e-05,4.99993370768355
27,4,7.622378037386063,31.34608400414791,6.610696135189606e-05,4.999959749602315
27,5,9.532462226752784,29.28429645233771,0.0005825928124882663,4.999999999999922
27,6,7.103644253047988,21.30500351942856,0.003472693442333655,4.999949822406674
27,7,6.844915984285176,18.234928681911015,0.004614347655997213,4.999955827905787
27,8,6.9019224268744175,17.056082264440747,0.005449565767746451,4.999956768346138
27,9,7.111644125364652,22.774193443696777,0.0028760978935028227,4.9999553442984235
28,0,7.092884679661756,17.676399773918465,2.312273206052529e-13,4.999945306598512
28,1,7.89311573745488,27.805216957901138,3.443382692967835e-14,4.999936196135833
28,2,7.748051694944204,26.124598356652356,9.191198751235328e-15,4.9999377345325815
28,3,6.584639931135953,18.843137574808775,0.0004472518009232396,4.999938287656361
28,4,7.390852742413149,19.875364833934235,3.8598291613495655e-17,4.999940677434646
28,5,7.044846515322232,10.773888618733038,5.091334972034969e-15,4.999935157603561
28,6,6.347112835822382,17.427777745646722,0.0007101937216365238,4.999943946921996
28,7,7.390188118256009,25.446331092979886,6.610696135189618e-05,4.999960784396998
28,8,8.150068652597263,11.794699472335202,2.9361085803688853e-15,4.999964139498635
28,9,6.1999040845124105,16.174894048943532,0.0017150184954643178,4.999950619127876
29,0,12.040175982479427,25.355570418526835,0.002564492795524081,4.999995685301681
29,1,12.287994738749692,24.14356126363219,0.0028284441131302645,4.999999999999996
29,2,11.356525348020815,25.347479526403973,0.003849596959461329,4.993835254349554
29,3,11.99844893650759,24.96923469903345,0.0030218457316617854,4.999989785906933
29,4,11.879143411711178,25.339245918187217,0.00329607361814797,4.999999726960082
29,5,12.019709238271213,24.961140748018877,0.0029520635240239826,4.995340477302211
29,6,8.315819620725003,10.213002552009542,0.041250821287501745,4.9999999999919105
29,7,12.123099982744037,25.99792697956507,0.0028071715033210843,4.999983015093933
29,8,13.59583172306435,25.996406506051652,0.0019088581594135631,4.999999999947857
29,9,12.048047898394078,24.120137228785424,0.0028683475593529115,4.999999997954513
30,0,6.884072969731036,16.050224688249344,2.0706598392342997e-09,4.999960729226257
30,1,6.221044023316813,16.155057537717614,6.610696135189607e-05,4.9999553045142235
30,2,6.167799547745098,16.095695024282787,6.610696135189606e-05,4.999955304628765
30,3,6.937555026042624,18.458715538895724,1.7928591247001455e-09,4.999955306333535
30,4,5.979441027846488,15.375031923502588,5.376958349563705e-05,4.999954746069227
30,5,7.008338433264545,16.86160873207731,1.0037255225360366e-16,4.999951304356067
30,6,6.7272045925148465,9.80273282433949,2.3670460072940472e-07,4.999955304677376
30,7,6.31675811731729,11.45458455581993,3.083120452492399e-15,4.999955304765228
30,8,6.100707767368321,15.704966123104318,6.610696135189607e-05,4.999955304656995
30,9,6.480107175167558,10.718906939295715,2.6803213327290153e-15,4.99995587811725
31,0,7.415937967352286,22.42445178432194,8.960053926788577e-08,4.9999421089629745
31,1,6.8706282319322485,19.61133197907714,0.001613789555570841,4.999957555729001
31,2,7.174218460924195,23.61204665981373,0.0010740153010339575,4.999955648441517
31,3,8.12025861418809,23.4932707583185,1.0449792302875507e-08,4.9999657882707735
31,4,6.82974695396158,16.79238207435038,3.847135670324847e-07,4.999933734521571
31,5,7.715744404399924,28.59445107193007,6.610696135189609e-05,4.999943466033333
31,6,8.535991096495463,32.123499232000384,8.495004629367334e-14,4.999959943929692
31,7,6.796996057247476,24.51945404160389,0.00010024863139006181,4.999965601306638
31,8,6.787116434355312,15.694141863088458,6.103604617105832e-18,4.999954678254165
31,9,7.694241846233104,27.24451411321099,7.044389852401947e-15,4.999965589371358
32,0,7.625141225640819,23.592497297368155,8.248114167318043e-16,4.9999553046935326
32,1,5.912340005541823,12.974786830900317,0.0037001405407460584,4.999935512565714
32,2,6.561895107287641,18.599049609805054,6.610696135189607e-05,4.999939069163765
32,3,7.273412980948584,19.23555381548586,8.094592647834171e-18,4.9999553046504985
32,4,8.03566435399984,24.32303598664785,1.2670560195300034e-18,4.999955304650489
32,5,6.6982451278796455,19.194060836341283,6.610696135189607e-05,4.999942799550937
32,6,6.569858896565376,10.38273799255657,3.849952045431257e-15,4.999941611365504
32,7,6.173300522273869,12.646760140316358,7.996355648362213e-08,4.999961033211935
32,8,8.176283518679869,9.17515748359075,3.816350671930152e-15,4.99997884309948
32,9,8.092994181657918,25.57144465735953,9.866233767504555e-10,4.999955303881099
33,0,7.400515686444055,27.04103067670321,1.2592599022819134e-12,4.999945202821004
33,1,7.202842279398437,21.24605220346045,0.0013173438498196922,4.999950616996827
33,2,7.07691097447696,18.47950004152299,0.003014319034702356,4.999951053076234
33,3,7.283326777906043,21.588455996607,0.0014917666956914784,4.999950818478951
33,4,6.895947535621312,17.853509530205567,0.00290188111116851,4.999953414839831
33,5,7.886736403560637,26.09081485716921,7.248467904170785e-15,4.999934866567223
33,6,8.206321490935352,26.814495267992232,1.1317104100988976e-07,4.999956711856485
33,7,7.9989179919611395,25.517989566196555,3.277363449448752e-08,4.9999414016350805
33,8,7.254828866021838,20.83485846161761,0.0015640159676525494,4.999949606181898
33,9,7.148173528133467,20.90463069744219,0.001635170557777333,4.999952873243792
34,0,10.5024541409729,28.42039535721826,0.0017878078304221917,4.999999999656914
34,1,8.430381597197803,32.574244913520644,0.0010870366175562364,4.999936525289604
34,2,8.368369446940417,30.242688062148396,0.0016408503736606572,4.999934373295108
34,3,8.365979050577172,30.37904382337577,0.0016340618159048324,4.999934696963535
34,4,8.302730589072421,32.79619178133125,0.0011183634178962292,4.999932993244652
34,5,8.263455780708451,24.17534598554703,0.004852619804956651,4.9999371686778105
34,6,7.676275874564479,17.81474577656451,0.009089535919416945,4.999934666168965
34,7,8.63227002841223,28.18449781607653,0.0017732199170877026,4.999999999994901
34,8,8.255841452846338,30.477999578062036,0.0014639189172243401,4.999934549222364
34,9,8.448917606367676,30.140075711018458,0.0016629040028601858,4.999934756298686
35,0,7.116483666432016,20.74259862002199,0.002919478565638193,4.9999456528075905
35,1,7.195943342646506,20.50720502396817,0.002903318344851349,4.999946832058101
35,2,7.460447517569868,24.026964726590457,0.0018370282372799525,4.9999502261531665
35,3,7.700303918727823,23.486250418133316,1.1696445392083376e-16,4.999955304650486
35,4,7.142765767829991,19.958079151868155,5.98561641775271e-08,4.999955304390304
35,5,7.470747374557348,28.106303827092855,6.610696135189605e-05,4.999953582198929
