subject_idx,delta1,delta2,hrate,nu_p
9,2.018485684500105,4.030726611212992,0.04343766810397006,4.999938337348067
10,5.697947998163331,13.192547535543548,0.01296867827601788,4.999990748029775
10,5.764730722201108,12.283244837666926,0.007746766322060747,4.999933083016926
10,5.191866300794399,11.296224129675153,0.007867019337322638,4.999937021789655
10,5.563905219245665,12.349329256171652,0.0051939116842656275,4.999936069784413
10,5.364447540678864,11.782281094189752,0.007574476580750474,4.999999437310369
10,4.820417616174423,11.040278716724085,0.002760091187550152,4.999999997336131
10,5.038725631886664,11.231387664719827,0.006127996781487582,4.999998777355244
10,5.364047346098066,10.836138655125895,0.005630851699936852,4.999938691960828
10,5.240541364187446,11.539402182050084,0.00815592962806873,4.999937367048195
10,5.462732092242511,12.049242043567792,0.006072531969737069,4.999997987641634
10,5.304676391938693,11.488389604123356,0.0038071230295394507,4.999934982865674
10,5.30506623492098,11.179212757118822,0.00565693064289114,4.99993530800756
10,5.030107427767806,10.394957044440579,0.010485103231127318,4.999937018844877
10,5.410319264375207,11.303609482279247,0.0062028908828167095,4.999933838680671
10,5.36852819561843,11.837940734443778,0.004148800542072224,4.999999999774175
11,6.839621865174837,9.209683215772547,0.023253058097634047,2.9280344007171735
11,6.035713929096816,9.263084467283694,0.024044145323232326,2.7367223554595936
11,7.9520320888744545,10.694729024599074,0.028639917989538285,3.358951930052186
11,7.909844589467439,8.639223525848328,0.024770449304878494,3.163411139554027
11,6.7991973153850065,9.649232969966038,0.026989148889124882,3.0919334938532947
11,6.375750309128845,10.585297770365516,0.026513222587347587,3.044566444328775
11,5.842994398134521,7.937313156250706,0.03571440513390196,2.8833172654453754
11,7.9999998875851706,10.783608847536719,0.026046310218594677,3.336006618116052
11,6.5038383052802695,9.60128177136823,0.023475223710562487,2.819653358168711
11,7.7738856459354535,10.042558890524885,0.019049559216793962,3.0953234004133114
